%TIME	M_POS	M_VEL	M_VOLT	S_POS	S_VEL	S_VOLT	VOLT_REF
27.272	73.9541	-0.67983	-0.914714	72.3907	-0.646715	-0.591948	-0.796425
27.273	73.9534	-0.686096	-0.412349	72.3899	-0.687757	-0.151695	-0.796425
27.274	73.9518	-0.725482	-0.0564414	72.3885	-0.677671	-0.0741094	-0.796425
27.275	73.9509	-0.771136	-0.777113	72.3877	-0.718983	-1.03163	-0.796425
27.276	73.9502	-0.752786	-1.38525	72.387	-0.714694	-1.62901	-0.796425
27.277	73.9496	-0.730768	-1.79006	72.3863	-0.720177	-1.95999	-0.796425
27.278	73.9486	-0.792228	-1.85503	72.3854	-0.758645	-1.85534	-0.796425
27.279	73.9479	-0.768193	-1.586	72.3848	-0.717816	-1.5563	-0.796425
27.28	73.9463	-0.788834	-1.09809	72.3832	-0.740757	-1.07462	-0.796425
27.281	73.9456	-0.748482	-0.336522	72.3825	-0.730598	-0.340803	-0.796425
27.282	73.9447	-0.805166	-0.383265	72.3817	-0.774872	-0.418898	-0.796425
27.283	73.9439	-0.80349	-0.893659	72.3809	-0.764131	-0.889406	-0.796425
27.284	73.943	-0.819497	-1.6089	72.3801	-0.764902	-1.55482	-0.796425
27.285	73.9422	-0.813957	-2.01342	72.3793	-0.782697	-2.06139	-0.796425
27.286	73.9406	-0.831155	-1.58603	72.3777	-0.801217	-1.70409	-0.796425
27.287	73.9398	-0.822472	-1.05069	72.377	-0.783374	-1.20523	-0.796425
27.288	73.9389	-0.841978	-0.456362	72.3762	-0.770341	-0.700562	-0.796425
27.289	73.938	-0.838993	-0.144595	72.3753	-0.803901	-0.261237	-0.796425
27.29	73.9373	-0.819581	-0.2668	72.3746	-0.79395	-0.235743	-0.796425
27.291	73.9362	-0.874329	-0.99085	72.3736	-0.829761	-0.752151	-0.796425
27.292	73.9343	-0.920675	-1.86039	72.372	-0.830295	-1.92806	-0.796425
27.293	73.9337	-0.853395	-1.65742	72.3711	-0.839076	-1.90754	-0.796425
27.294	73.9328	-0.864564	-1.15937	72.3703	-0.819642	-1.54528	-0.796425
27.295	73.9318	-0.881337	-0.595232	72.3694	-0.848526	-0.951833	-0.796425
27.296	73.93	-0.907182	-0.279787	72.3678	-0.821427	-0.528502	-0.796425
27.297	73.9292	-0.869387	-1.10925	72.3669	-0.841214	-0.554323	-0.796425
27.298	73.9281	-0.936555	-2.00093	72.3661	-0.847051	-1.2782	-0.796425
27.299	73.9272	-0.916688	-2.18175	72.3651	-0.877162	-2.08432	-0.796425
27.3	73.9262	-0.953872	-1.75657	72.3643	-0.864691	-2.3013	-0.796425
27.301	73.9254	-0.903489	-1.21397	72.3634	-0.864199	-1.98106	-0.796425
27.302	73.9244	-0.927	-0.478902	72.3626	-0.855223	-1.38354	-0.796425
27.303	73.9235	-0.935556	-0.0574344	72.3617	-0.857283	-0.711614	-0.796425
27.304	73.9215	-0.951988	-1.11154	72.3599	-0.876443	-0.107903	-0.796425
27.305	73.9205	-0.953808	-1.77422	72.359	-0.898629	-0.703685	-0.796425
27.306	73.9195	-0.980985	-1.84122	72.3581	-0.888987	-1.47864	-0.796425
27.307	73.9185	-0.983603	-1.39701	72.3571	-0.925023	-1.97274	-0.796425
27.308	73.9175	-0.968283	-0.820372	72.3562	-0.908265	-1.82007	-0.796425
27.309	73.9155	-1.00294	-0.421285	72.3544	-0.91061	-0.741798	-0.796425
27.31	73.9144	-1.01687	-1.186	72.3534	-0.932201	-0.329546	-0.796425
27.311	73.9134	-1.01843	-1.91186	72.3524	-0.947971	-0.489694	-0.796425
27.312	73.9125	-1.00234	-2.02079	72.3515	-0.942258	-1.1871	-0.796425
27.313	73.9114	-1.02505	-1.53124	72.3505	-0.955317	-1.94817	-0.796425
27.314	73.9093	-1.01696	-0.244469	72.3485	-0.978114	-1.62769	-0.796425
27.315	73.9083	-1.0185	-0.213271	72.3476	-0.947043	-1.02949	-0.796425
27.316	73.9072	-1.05408	-0.984829	72.3466	-0.976043	-0.383907	-0.796425
27.317	73.906	-1.08007	-1.768	72.3456	-0.971378	-0.209608	-0.796425
27.318	73.9051	-1.04736	-1.82652	72.3445	-1.01966	-0.824937	-0.796425
27.319	73.9029	-1.06333	-0.670538	72.3424	-1.01709	-1.98232	-0.796425
27.32	73.9017	-1.09544	-0.267015	72.3414	-1.00997	-1.65888	-0.796425
27.321	73.9008	-1.04997	-0.582365	72.3403	-1.03924	-0.956379	-0.796425
27.322	73.8995	-1.10292	-1.64451	72.3394	-1.00892	-0.446322	-0.796425
27.323	73.8984	-1.09851	-2.18257	72.3383	-1.03847	-0.355788	-0.796425
27.324	73.8963	-1.06874	-1.21937	72.3361	-1.06091	-2.04032	-0.796425
27.325	73.8951	-1.11663	-0.324819	72.3351	-1.04198	-2.29115	-0.796425
27.326	73.8939	-1.14299	-0.0856966	72.334	-1.06262	-1.75218	-0.796425
27.327	73.8929	-1.10193	-0.681759	72.333	-1.05184	-0.95993	-0.796425
27.328	73.8917	-1.12364	-1.64118	72.3319	-1.06121	-0.237338	-0.796425
27.329	73.8905	-1.13949	-1.87122	72.3308	-1.05943	-0.105913	-0.796425
27.33	73.8883	-1.10551	-0.746904	72.3285	-1.10655	-1.79734	-0.796425
27.331	73.887	-1.16071	-0.27655	72.3275	-1.09255	-1.93839	-0.796425
27.332	73.8858	-1.17519	-0.805194	72.3264	-1.09955	-1.41069	-0.796425
27.333	73.8847	-1.15991	-1.71097	72.3253	-1.08744	-0.745939	-0.796425
27.334	73.8823	-1.17672	-2.03862	72.323	-1.10127	-0.30435	-0.796425
27.335	73.881	-1.20411	-0.663168	72.3219	-1.12315	-1.64631	-0.796425
27.336	73.88	-1.1638	-0.162739	72.3206	-1.14775	-2.13248	-0.796425
27.337	73.8787	-1.20329	-0.519387	72.3195	-1.13987	-1.71284	-0.796425
27.338	73.8773	-1.23213	-1.55012	72.3184	-1.13412	-0.945213	-0.796425
27.339	73.8748	-1.259	-1.87116	72.3159	-1.20206	-0.296385	-0.796425
27.34	73.8737	-1.21251	-0.638299	72.3149	-1.14508	-1.23308	-0.796425
27.341	73.8725	-1.21302	-0.269505	72.3137	-1.16377	-1.95587	-0.796425
27.342	73.8712	-1.23063	-0.925388	72.3125	-1.17742	-1.71338	-0.796425
27.343	73.87	-1.23487	-1.95755	72.3113	-1.17877	-0.981464	-0.796425
27.344	73.8687	-1.26381	-2.08668	72.3101	-1.18838	-0.359555	-0.796425
27.345	73.8662	-1.26264	-0.425828	72.3075	-1.22637	-1.62828	-0.796425
27.346	73.8649	-1.27548	-0.0693271	72.3064	-1.19729	-2.28843	-0.796425
27.347	73.8637	-1.23317	-0.730644	72.3052	-1.21052	-1.93035	-0.796425
27.348	73.8623	-1.2798	-1.78155	72.3039	-1.2288	-0.965471	-0.796425
27.349	73.861	-1.30525	-1.72804	72.3028	-1.19907	-0.225761	-0.796425
27.35	73.8584	-1.29801	-0.351996	72.3002	-1.23604	-1.21823	-0.796425
27.351	73.8571	-1.30993	-0.551475	72.2989	-1.24744	-1.96686	-0.796425
27.352	73.8559	-1.28418	-1.51993	72.2976	-1.26438	-1.62287	-0.796425
27.353	73.8544	-1.33429	-2.03961	72.2964	-1.2509	-0.865529	-0.796425
27.354	73.8519	-1.29956	-0.62605	72.2938	-1.27231	-0.746587	-0.796425
27.355	73.8505	-1.3283	-0.139334	72.2926	-1.2567	-1.76052	-0.796425
27.356	73.8491	-1.34067	-0.891711	72.2912	-1.29699	-2.07581	-0.796425
27.357	73.8478	-1.32386	-1.77466	72.29	-1.26611	-1.44452	-0.796425
27.358	73.8464	-1.35466	-1.65264	72.2887	-1.2694	-0.576304	-0.796425
27.359	73.845	-1.35131	-0.871292	72.2873	-1.31488	-0.230706	-0.796425
27.36	73.8437	-1.34025	-0.282757	72.2861	-1.28779	-0.976264	-0.796425
27.361	73.8408	-1.39219	-2.00652	72.2833	-1.34765	-1.66659	-0.796425
27.362	73.8396	-1.34426	-2.10018	72.2821	-1.30311	-0.924659	-0.796425
27.363	73.8381	-1.38679	-1.18152	72.2808	-1.31366	-0.310987	-0.796425
27.364	73.8367	-1.39201	-0.215289	72.2793	-1.34721	-0.819871	-0.796425
27.365	73.8354	-1.36136	-0.186055	72.2781	-1.32002	-1.94208	-0.796425
27.366	73.8324	-1.43095	-1.87922	72.2752	-1.36882	-1.29944	-0.796425
27.367	73.8312	-1.37257	-1.37198	72.274	-1.3358	-0.382018	-0.796425
27.368	73.8296	-1.43332	-0.436269	72.2726	-1.35477	-0.13125	-0.796425
27.369	73.8268	-1.4097	-0.474072	72.2698	-1.37641	-1.21178	-0.796425
27.37	73.8253	-1.42598	-2.04057	72.2685	-1.35858	-1.57272	-0.796425
27.371	73.8238	-1.46371	-1.29299	72.2669	-1.40587	-0.628613	-0.796425
27.372	73.8225	-1.41373	-0.436276	72.2656	-1.37148	-0.320548	-0.796425
27.373	73.8209	-1.44615	-0.254444	72.2642	-1.38083	-1.16818	-0.796425
27.374	73.8194	-1.46121	-1.35993	72.2627	-1.42212	-2.12206	-0.796425
27.375	73.8164	-1.49119	-1.15715	72.26	-1.40441	-0.760296	-0.796425
27.376	73.8151	-1.45103	-0.398037	72.2585	-1.42211	-0.196553	-0.796425
27.377	73.8135	-1.49063	-0.611319	72.2571	-1.40919	-0.887737	-0.796425
27.378	73.8119	-1.51093	-1.91013	72.2557	-1.41699	-1.90936	-0.796425
27.379	73.809	-1.49719	-2.13162	72.2528	-1.43313	-1.67043	-0.796425
27.38	73.8074	-1.51572	-0.138201	72.2514	-1.42586	-0.293817	-0.796425
27.381	73.806	-1.48618	-0.367254	72.2499	-1.44639	-1.15913	-0.796425
27.382	73.8044	-1.5163	-1.64744	72.2484	-1.45277	-2.25615	-0.796425
27.383	73.8029	-1.51245	-1.78179	72.2469	-1.47467	-1.83416	-0.796425
27.384	73.8013	-1.5441	-0.877751	72.2455	-1.44758	-0.780215	-0.796425
27.385	73.7998	-1.54137	-0.276687	72.244	-1.45364	-0.0615599	-0.796425
27.386	73.7967	-1.55583	-2.03782	72.241	-1.46924	-1.91083	-0.796425
27.387	73.7951	-1.56717	-1.54896	72.2395	-1.47808	-1.64817	-0.796425
27.388	73.7936	-1.54099	-0.553933	72.2379	-1.50177	-0.684966	-0.796425
27.389	73.792	-1.56495	-0.214509	72.2364	-1.50184	-0.344559	-0.796425
27.39	73.7905	-1.53937	-1.2541	72.235	-1.49327	-1.33211	-0.796425
27.391	73.7888	-1.581	-1.84584	72.2334	-1.51286	-2.13327	-0.796425
27.392	73.7871	-1.60278	-1.04097	72.2319	-1.51856	-1.45429	-0.796425
27.393	73.7857	-1.55839	-0.309984	72.2302	-1.55718	-0.382294	-0.796425
27.394	73.7841	-1.57765	-0.852521	72.2288	-1.50784	-0.335086	-0.796425
27.395	73.7808	-1.61294	-1.77863	72.2256	-1.55847	-1.88811	-0.796425
27.396	73.7791	-1.6175	-0.590859	72.2241	-1.55187	-1.01587	-0.796425
27.397	73.7777	-1.56052	-0.0482723	72.2226	-1.53843	-0.308263	-0.796425
27.398	73.7759	-1.62229	-1.19186	72.221	-1.55446	-0.974238	-0.796425
27.399	73.7743	-1.62433	-1.89335	72.2194	-1.55756	-2.2222	-0.796425
27.4	73.7727	-1.63444	-1.16537	72.2177	-1.58566	-1.81708	-0.796425
27.401	73.7709	-1.65905	-0.296512	72.2163	-1.5545	-0.690823	-0.796425
27.402	73.7695	-1.59948	-0.783014	72.2147	-1.55758	-0.0644651	-0.796425
27.403	73.7678	-1.63352	-1.9935	72.2131	-1.56845	-1.08113	-0.796425
27.404	73.7644	-1.66627	-0.481028	72.2098	-1.61665	-1.26693	-0.796425
27.405	73.7627	-1.67369	-0.291485	72.2083	-1.56852	-0.441557	-0.796425
27.406	73.7612	-1.62741	-1.42088	72.2067	-1.58505	-0.64027	-0.796425
27.407	73.7593	-1.68838	-1.74019	72.205	-1.62298	-1.9786	-0.796425
27.408	73.7578	-1.65537	-0.864671	72.2034	-1.61622	-1.84107	-0.796425
27.409	73.756	-1.69157	-0.295663	72.2017	-1.64574	-0.687023	-0.796425
27.41	73.7542	-1.71801	-1.56102	72.2001	-1.62423	-0.219608	-0.796425
27.411	73.7526	-1.67701	-2.17009	72.1985	-1.61713	-1.26362	-0.796425
27.412	73.7508	-1.70738	-1.17339	72.1968	-1.64641	-1.9575	-0.796425
27.413	73.7493	-1.66063	-0.155579	72.1951	-1.65056	-1.10374	-0.796425
27.414	73.7475	-1.70403	-0.651633	72.1934	-1.66221	-0.300903	-0.796425
27.415	73.7439	-1.73768	-1.38454	72.1901	-1.66667	-2.28333	-0.796425
27.416	73.7421	-1.75169	-0.371424	72.1884	-1.66536	-1.66163	-0.796425
27.417	73.7405	-1.71023	-0.682059	72.1867	-1.67302	-0.394768	-0.796425
27.418	73.7387	-1.74025	-1.98149	72.185	-1.69585	-0.286533	-0.796425
27.419	73.7371	-1.71049	-1.67183	72.1833	-1.68667	-1.66078	-0.796425
27.42	73.7352	-1.74906	-0.448275	72.1816	-1.68858	-1.79725	-0.796425
27.421	73.7335	-1.75139	-0.354494	72.18	-1.68137	-0.804913	-0.796425
27.422	73.7316	-1.77032	-1.69345	72.1783	-1.68471	-0.341175	-0.796425
27.423	73.728	-1.7833	-0.505585	72.1747	-1.73366	-2.02267	-0.796425
27.424	73.7262	-1.78501	-0.575296	72.1729	-1.74014	-0.925566	-0.796425
27.425	73.7246	-1.74318	-1.91683	72.1714	-1.69318	-0.199708	-0.796425
27.426	73.7227	-1.78156	-1.86289	72.1696	-1.71057	-1.09087	-0.796425
27.427	73.721	-1.77512	-0.600908	72.1679	-1.72327	-1.97933	-0.796425
27.428	73.7191	-1.79627	-0.158931	72.1661	-1.72393	-1.17114	-0.796425
27.429	73.7173	-1.81171	-1.57488	72.1643	-1.75026	-0.298346	-0.796425
27.43	73.7154	-1.81438	-1.70282	72.1625	-1.75227	-1.19978	-0.796425
27.431	73.7136	-1.83356	-0.606083	72.1607	-1.77096	-2.30429	-0.796425
27.432	73.7099	-1.82866	-1.83985	72.1573	-1.74589	-0.212929	-0.796425
27.433	73.7083	-1.79229	-1.81111	72.1555	-1.75768	-0.55332	-0.796425
27.434	73.7063	-1.82604	-0.567218	72.1537	-1.7663	-1.91426	-0.796425
27.435	73.7045	-1.81623	-0.269977	72.1519	-1.78983	-1.43705	-0.796425
27.436	73.7026	-1.85214	-1.67373	72.1501	-1.78978	-0.411461	-0.796425
27.437	73.7007	-1.85252	-1.56224	72.1482	-1.80697	-0.869052	-0.796425
27.438	73.6988	-1.87003	-0.449505	72.1465	-1.79369	-2.09943	-0.796425
27.439	73.6969	-1.87421	-0.731613	72.1446	-1.80983	-1.46892	-0.796425
27.44	73.6931	-1.90833	-1.51572	72.141	-1.82064	-0.682049	-0.796425
27.441	73.6913	-1.89356	-0.216962	72.1391	-1.83813	-1.96	-0.796425
27.442	73.6893	-1.90863	-0.639686	72.1373	-1.83368	-1.34209	-0.796425
27.443	73.6876	-1.8507	-1.84382	72.1355	-1.83042	-0.345091	-0.796425
27.444	73.6856	-1.89455	-1.2974	72.1336	-1.83666	-1.04242	-0.796425
27.445	73.6838	-1.87488	-0.320117	72.1317	-1.86706	-2.30524	-0.796425
27.446	73.6799	-1.89243	-2.04811	72.128	-1.86773	-0.120416	-0.796425
27.447	73.6779	-1.92503	-1.02818	72.1262	-1.84668	-0.766805	-0.796425
27.448	73.676	-1.91438	-0.133615	72.1243	-1.86577	-1.98016	-0.796425
27.449	73.674	-1.94106	-1.33266	72.1224	-1.85386	-1.21899	-0.796425
27.45	73.6721	-1.9347	-1.75923	72.1206	-1.86239	-0.310843	-0.796425
27.451	73.6682	-1.94157	-0.666469	72.1168	-1.86457	-1.27865	-0.796425
27.452	73.6662	-1.96093	-2.04837	72.1148	-1.89606	-0.979775	-0.796425
27.453	73.6642	-1.96644	-1.65299	72.1129	-1.89322	-0.202688	-0.796425
27.454	73.6623	-1.94463	-0.302821	72.111	-1.90837	-1.45774	-0.796425
27.455	73.6603	-1.97177	-0.580931	72.1091	-1.91083	-1.82623	-0.796425
27.456	73.6583	-1.96575	-1.88372	72.1071	-1.92985	-0.644051	-0.796425
27.457	73.6544	-1.95117	-0.280646	72.1032	-1.93502	-2.13787	-0.796425
27.458	73.6522	-2.01963	-1.53099	72.1013	-1.94752	-1.72408	-0.796425
27.459	73.6504	-1.96624	-1.95047	72.0994	-1.9308	-0.332832	-0.796425
27.46	73.6483	-2.00479	-0.658494	72.0975	-1.9186	-0.443081	-0.796425
27.461	73.6464	-1.97263	-0.249958	72.0955	-1.93552	-1.92914	-0.796425
27.462	73.6424	-1.99095	-1.45016	72.0916	-1.95063	-0.324077	-0.796425
27.463	73.6402	-2.02284	-0.310824	72.0897	-1.93308	-1.1871	-0.796425
27.464	73.6383	-2.00305	-1.13192	72.0877	-1.95472	-2.09639	-0.796425
27.465	73.6362	-2.03167	-2.15745	72.0858	-1.94468	-0.98473	-0.796425
27.466	73.6342	-2.01812	-0.974554	72.0837	-1.97181	-0.22677	-0.796425
27.467	73.6302	-2.01522	-1.47142	72.0798	-1.96999	-1.72602	-0.796425
27.468	73.6279	-2.06641	-1.59318	72.0778	-1.98168	-0.516676	-0.796425
27.469	73.626	-2.04349	-0.443807	72.0758	-1.9816	-0.753545	-0.796425
27.47	73.6238	-2.06983	-0.961422	72.0738	-1.99016	-2.27755	-0.796425
27.471	73.6196	-2.08656	-0.948205	72.0697	-2.00959	-0.0984799	-0.796425
27.472	73.6176	-2.06682	-0.158999	72.0677	-2.01061	-1.04814	-0.796425
27.473	73.6155	-2.07825	-1.5703	72.0657	-2.01135	-1.93839	-0.796425
27.474	73.6136	-2.03491	-1.61982	72.0638	-1.98604	-0.900778	-0.796425
27.475	73.6113	-2.11525	-0.3384	72.0616	-2.0451	-0.470042	-0.796425
27.476	73.6092	-2.10501	-1.15465	72.0595	-2.03654	-1.97688	-0.796425
27.477	73.6049	-2.10862	-0.833647	72.0554	-2.05321	-0.275152	-0.796425
27.478	73.6028	-2.1174	-0.147119	72.0533	-2.05108	-1.01022	-0.796425
27.479	73.6007	-2.10658	-1.69115	72.0513	-2.04953	-1.95198	-0.796425
27.48	73.5986	-2.11591	-1.44209	72.0492	-2.057	-0.82033	-0.796425
27.481	73.5943	-2.12141	-1.31057	72.0451	-2.06878	-2.13037	-0.796425
27.482	73.5922	-2.13535	-1.92091	72.043	-2.07968	-1.64049	-0.796425
27.483	73.5901	-2.11108	-0.64685	72.0409	-2.0618	-0.211355	-0.796425
27.484	73.5878	-2.15366	-0.470579	72.0388	-2.09182	-0.893134	-0.796425
27.485	73.5858	-2.13306	-1.84669	72.0367	-2.08789	-1.95919	-0.796425
27.486	73.5835	-2.16971	-1.032	72.0346	-2.10226	-0.82639	-0.796425
27.487	73.5814	-2.14479	-0.300267	72.0325	-2.09552	-0.466581	-0.796425
27.488	73.577	-2.16828	-1.68826	72.0282	-2.11915	-1.42243	-0.796425
27.489	73.5747	-2.21267	-0.124541	72.026	-2.1337	-0.210458	-0.796425
27.49	73.5725	-2.1934	-1.0077	72.0239	-2.1271	-1.30898	-0.796425
27.491	73.5703	-2.21378	-1.8009	72.0217	-2.14813	-1.77929	-0.796425
27.492	73.5681	-2.20282	-0.590698	72.0196	-2.12903	-0.538814	-0.796425
27.493	73.5659	-2.20344	-0.769303	72.0174	-2.15815	-0.929778	-0.796425
27.494	73.5637	-2.20388	-2.05366	72.0153	-2.13634	-2.30521	-0.796425
27.495	73.5592	-2.22168	-0.22875	72.011	-2.14025	-0.0746807	-0.796425
27.496	73.5571	-2.19998	-1.71878	72.0088	-2.15773	-1.65356	-0.796425
27.497	73.5547	-2.23582	-1.23643	72.0067	-2.14465	-1.59099	-0.796425
27.498	73.5526	-2.21892	-0.268719	72.0045	-2.16095	-0.363125	-0.796425
27.499	73.5502	-2.26689	-1.86848	72.0023	-2.15562	-1.25341	-0.796425
27.5	73.548	-2.25023	-1.71366	72.0001	-2.16896	-2.01464	-0.796425
27.501	73.5434	-2.25435	-1.02984	71.9957	-2.1835	-0.561836	-0.796425
27.502	73.5412	-2.24969	-1.80319	71.9935	-2.19793	-1.98183	-0.796425
27.503	73.5389	-2.2549	-0.544171	71.9913	-2.19125	-0.990617	-0.796425
27.504	73.5367	-2.25009	-0.86472	71.989	-2.22945	-0.449665	-0.796425
27.505	73.5343	-2.28104	-2.02006	71.9868	-2.21427	-2.17134	-0.796425
27.506	73.5321	-2.26918	-0.741536	71.9845	-2.23764	-1.4309	-0.796425
27.507	73.5296	-2.31221	-0.482544	71.9824	-2.21164	-0.082433	-0.796425
27.508	73.525	-2.30465	-0.860263	71.9779	-2.21256	-1.76172	-0.796425
27.509	73.5227	-2.30366	-0.5043	71.9757	-2.22778	-0.451325	-0.796425
27.51	73.5205	-2.2857	-2.141	71.9735	-2.22166	-1.07727	-0.796425
27.511	73.5181	-2.30705	-1.19235	71.9712	-2.23443	-2.06128	-0.796425
27.512	73.5159	-2.29679	-0.0550841	71.9688	-2.26098	-0.623045	-0.796425
27.513	73.5134	-2.341	-1.71335	71.9666	-2.25453	-0.579304	-0.796425
27.514	73.5087	-2.34353	-0.287759	71.962	-2.26061	-0.873142	-0.796425
27.515	73.5063	-2.34929	-1.83014	71.9597	-2.28872	-0.572257	-0.796425
27.516	73.504	-2.33626	-1.47254	71.9574	-2.28341	-2.27831	-0.796425
27.517	73.5017	-2.34398	-0.142059	71.9552	-2.27091	-1.23469	-0.796425
27.518	73.4994	-2.33238	-1.42088	71.9529	-2.2704	-0.0644651	-0.796425
27.519	73.4946	-2.36178	-0.270955	71.9482	-2.30189	-1.42829	-0.796425
27.52	73.4922	-2.37123	-1.74322	71.9459	-2.31888	-0.304131	-0.796425
27.521	73.4898	-2.36952	-1.7228	71.9435	-2.32267	-1.76806	-0.796425
27.522	73.4874	-2.36827	-0.131871	71.9412	-2.31682	-1.62998	-0.796425
27.523	73.485	-2.38459	-1.24033	71.939	-2.30393	-0.255229	-0.796425
27.524	73.4825	-2.40513	-1.61089	71.9366	-2.32898	-1.3714	-0.796425
27.525	73.4801	-2.40289	-0.316802	71.9343	-2.31281	-1.71156	-0.796425
27.526	73.4754	-2.3961	-1.72519	71.9295	-2.35434	-1.51285	-0.796425
27.527	73.4729	-2.41353	-0.214584	71.9271	-2.35718	-2.00648	-0.796425
27.528	73.4706	-2.40042	-1.2167	71.9248	-2.34203	-0.338815	-0.796425
27.529	73.468	-2.43392	-1.55862	71.9225	-2.33957	-0.808513	-0.796425
27.53	73.4656	-2.43254	-0.287179	71.9201	-2.36363	-1.89501	-0.796425
27.531	73.4632	-2.4143	-1.60917	71.9177	-2.36397	-0.557595	-0.796425
27.532	73.4583	-2.42039	-0.134379	71.9129	-2.37863	-2.02267	-0.796425
27.533	73.4557	-2.47435	-1.3908	71.9105	-2.38354	-0.519369	-0.796425
27.534	73.4533	-2.45346	-1.54929	71.9082	-2.3699	-0.7897	-0.796425
27.535	73.451	-2.42958	-0.298911	71.9057	-2.38578	-1.92204	-0.796425
27.536	73.4484	-2.46383	-1.68217	71.9032	-2.41461	-0.521717	-0.796425
27.537	73.446	-2.45439	-1.54233	71.9008	-2.41844	-1.13891	-0.796425
27.538	73.441	-2.47624	-1.58345	71.896	-2.40207	-0.521521	-0.796425
27.539	73.4385	-2.47207	-1.31195	71.8935	-2.43512	-0.716195	-0.796425
27.54	73.4359	-2.50348	-0.315197	71.8911	-2.4248	-1.93329	-0.796425
27.541	73.4334	-2.50058	-2.07925	71.8887	-2.4345	-0.577019	-0.796425
27.542	73.431	-2.47261	-1.30519	71.8863	-2.40712	-0.948655	-0.796425
27.543	73.4284	-2.50388	-0.0894591	71.8838	-2.43881	-2.0253	-0.796425
