TIME	M_POS	M_VEL	M_VOLT	S_POS	S_VEL	S_VOLT	VOLT_REF
15.7845	51.9565	-10.3537	-1.41626	48.323	-11.5114	-1.96572	-0.746505
15.785	51.9517	-10.2609	-1.69117	48.3176	-11.3896	-0.37229	-0.746505
15.7855	51.9466	-10.2466	-0.0884534	48.3118	-11.4343	-0.312714	-0.746505
15.786	51.9415	-10.253	-1.00899	48.306	-11.4445	-1.25233	-0.746505
15.7865	51.9311	-10.2803	-0.40603	48.2947	-11.4077	-1.39693	-0.746505
15.787	51.926	-10.2539	-0.563939	48.2889	-11.4311	-0.202975	-0.746505
15.7875	51.9204	-10.4079	-1.57863	48.2827	-11.5719	-0.324522	-0.746505
15.788	51.9154	-10.3536	-1.44134	48.2771	-11.5436	-1.33362	-0.746505
15.7885	51.9052	-10.2942	-1.21786	48.2657	-11.5134	-1.39081	-0.746505
15.789	51.8998	-10.3773	-1.84459	48.2598	-11.54	-0.220784	-0.746505
15.7895	51.8948	-10.3368	-0.681654	48.2541	-11.507	-0.52984	-0.746505
15.79	51.8848	-10.2447	-1.76247	48.2427	-11.4867	-1.85739	-0.746505
15.7905	51.8792	-10.3722	-1.66581	48.2368	-11.5358	-1.15928	-0.746505
15.791	51.8742	-10.3231	-0.0148884	48.2312	-11.4848	-0.1476	-0.746505
15.7915	51.8636	-10.3913	-1.99416	48.2194	-11.5806	-1.75238	-0.746505
15.792	51.8587	-10.3116	-0.285054	48.2139	-11.5046	-1.74369	-0.746505
15.7925	51.8534	-10.355	-0.539562	48.2081	-11.5139	-0.822026	-0.746505
15.793	51.8433	-10.2819	-0.843605	48.1967	-11.4662	-0.99822	-0.746505
15.7935	51.838	-10.3296	-0.255553	48.1909	-11.4904	-2.09654	-0.746505
15.794	51.8328	-10.3518	-1.35066	48.1851	-11.5204	-1.58158	-0.746505
15.7945	51.8278	-10.2871	-1.62197	48.1795	-11.4809	-0.517593	-0.746505
15.795	51.8174	-10.3385	-0.746213	48.168	-11.4862	-1.21172	-0.746505
15.7955	51.8121	-10.3594	-1.82514	48.1622	-11.4889	-2.22806	-0.746505
15.796	51.8072	-10.2936	-0.947405	48.1564	-11.5098	-1.24162	-0.746505
15.7965	51.7967	-10.3553	-1.41604	48.1448	-11.5433	-0.426958	-0.746505
15.797	51.7915	-10.3459	-1.9318	48.1393	-11.4726	-1.47838	-0.746505
15.7975	51.7865	-10.3006	-0.0051634	48.1335	-11.4866	-2.24868	-0.746505
15.798	51.7761	-10.3298	-2.00311	48.1221	-11.4903	-0.256047	-0.746505
15.7985	51.7709	-10.3427	-0.640398	48.1163	-11.4925	-0.762125	-0.746505
15.799	51.7659	-10.2886	-0.436917	48.1106	-11.4757	-1.69378	-0.746505
15.7995	51.755	-10.4761	-1.65981	48.0987	-11.615	-0.846492	-0.746505
15.8	51.75	-10.3934	-0.292929	48.093	-11.5897	-0.257546	-0.746505
15.8005	51.7402	-10.229	-1.75808	48.0822	-11.3545	-1.91433	-0.746505
15.801	51.7347	-10.3587	-0.872385	48.076	-11.4878	-1.9835	-0.746505
15.8015	51.7298	-10.2744	-0.506134	48.0704	-11.4624	-0.214032	-0.746505
15.802	51.7246	-10.2768	-1.76968	48.0647	-11.4593	-0.409993	-0.746505
15.8025	51.7141	-10.3548	-0.0854347	48.0532	-11.457	-1.92992	-0.746505
15.803	51.7092	-10.2804	-1.26203	48.0475	-11.464	-1.56862	-0.746505
15.8035	51.7041	-10.254	-2.01589	48.0418	-11.4328	-0.0195058	-0.746505
15.804	51.6935	-10.3567	-0.650694	48.0302	-11.4934	-1.57318	-0.746505
15.8045	51.6882	-10.4028	-1.82325	48.0241	-11.6066	-1.92485	-0.746505
15.805	51.6831	-10.3586	-1.10241	48.0187	-11.4803	-1.25906	-0.746505
15.8055	51.6725	-10.4372	-1.18831	48.0068	-11.6156	-0.534284	-0.746505
15.806	51.6679	-10.2579	-1.55673	48.0014	-11.4788	-1.75347	-0.746505
15.8065	51.6625	-10.3277	-0.386396	47.9958	-11.4454	-1.7773	-0.746505
15.807	51.6574	-10.3223	-0.759627	47.99	-11.454	-0.864195	-0.746505
15.8075	51.6472	-10.2779	-1.02385	47.9785	-11.4677	-1.05446	-0.746505
15.808	51.6419	-10.3262	-0.158746	47.9727	-11.501	-1.93324	-0.746505
15.8085	51.6367	-10.3303	-1.51052	47.9671	-11.4551	-1.54192	-0.746505
15.809	51.6268	-10.208	-0.0867174	47.9558	-11.4008	-0.386341	-0.746505
15.8095	51.6213	-10.3222	-0.917075	47.9499	-11.4717	-1.32528	-0.746505
15.81	51.6163	-10.2897	-2.13994	47.9443	-11.4207	-2.08328	-0.746505
